GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,WsImportMojo.WSDLFile,8,0,0,0,2,0,2,0,2,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,MainWsImportMojo,21,0,0,0,5,0,5,0,5,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,WsImportMojo.XMLFile,8,0,0,0,2,0,2,0,2,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,TestWsImportMojo,64,0,4,0,16,0,9,0,7,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,MainWsGenMojo,178,0,20,0,36,0,19,0,9,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,WsImportMojo,1374,73,164,10,249,18,95,6,13,1
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,AbstractWsGenMojo,424,0,50,0,81,0,34,0,9,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,TestWsGenMojo,121,0,10,0,26,0,14,0,9,0
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,AbstractJaxwsMojo,957,57,126,0,205,16,79,1,16,1
Maven JAXWS 2.x Plugin,org.jvnet.jax_ws_commons.jaxws,Invoker,296,0,6,0,49,0,5,0,2,0
